station code,Name of Monitoring Location,Place Name,Temperature_Min,Temperature_Max,Ph_Min,Ph_Max,Conductivity_Min,Conductivity_Max,Nitrate_Min,Nitrate_Max,TotalDissolvedSolids_Min,TotalDissolvedSolids_Max,Fluroide_Min,Fluroide_Max
15,"BOREWELL AT KOYYURA,
JAYASHANKAR BHUPALAPALLI",JAYASHANKAR BHUPALPALLI,28,31,7.36,8.51,195,216,1.2,2.2,114,128,0.42,0.98
16,"OPEN WELL AT GOVT ASHRAM
SCHOOL, TADVAI (V), SS TADVAI
(M), MULUGU DISTRICT",MULUGU,27,28,8.36,8.7,677,1007,1.4,408,420,614,0.66,0.82
27,"BOREWELL AT PEDDAVOORA
(V&M), NALGONDA",NALGONDA,22,23,7.52,7.69,1900,1988,7.26,16.29,1110,1235,0.3,0.33
1515,"BOREWELL AT NAGARAM,
PALVANCHA, BHADRADRI
KOTHAGUDEM",BHDRADRI KOTHAGUDEM,28,31.2,8.28,8.28,1150,1821,5.2,9.4,713,1092,1.1,1.14
1525,"BOREWELL AT PASHAMYLARAM
NEAR M/S.SRI CHAITANYA
CHLORIDES, SANGAREDDY",SANGAREDDY,23,26,7.39,7.52,1900,3480,16.29,27.32,1235,1950,0.3,0.34
1791,"BOREWELL AT PYDIPALLY NEAR
EAST SIDE OF SAI CHERUVU ,
PAIDIPALLY (V), WARANGAL
(M&D)",WARANGAL,27,27,7.83,8.09,613,3130,1.8,9.8,386,1972,0.98,1.08
1792,"BOREWELL AT CKM COLLEGE,
ENAMAMULA (V), WARANGAL
(M&D)",WARANGAL,27,27,8.15,8.84,1012,1090,2.9,4.6,608,732,1.02,1.1
1793,"OPEN WELL AT KUNDANPALLY
NEAR ASH PONDS OF NTPC,
PEDDAPALLI , RAMAGUNDAM",RAMAGUNDAM,28,29,7.48,7.99,1720,1933,2.9,4.8,1066,1218,1,1.1
1794,"BOREWELL AT MANAKONDUR ,
RAMAGUNDAM",RAMAGUNDAM,28,30,7.81,7.92,926,989,2.9,3.2,564,604,0.86,0.96
1795,"BOREWELL AT BOLLARAM NEAR
PANCHAYAT OFFICE,
SANGAREDDY",SANGAREDDY,23,24,7.05,7.27,2450,3850,15.24,18.22,1370,2502.5,0.25,0.27
1810,"BOREWELL AT BODHAN,
SRIRAMNAGAR COLONY,
SHAKKARNAGAR, NIZAMABAD",NIZAMBAD,25,25,7.44,7.69,2240,2413,22.32,25.3,1260,1568.45,0.3,0.35
1811,"BOREWELL AT RUDRAVELLI NEAR
PRIMARY SCHOOL, RUDRAVELLI
(V), BIBINAGAR (M),YADADRI
BHUVANAGIRI(D)",YADADRI,21,23,7.89,8.12,1764,1950,9.28,11.26,988,1267.5,0.26,0.29
3088,"BOREWELL AT J.NARASIMHA
RAO?S HOUSE, 14NOS. AREA,
RAMAVARAM, NEAR MWS
DUMPSITE, KOTHAGUDEM",KOTHAGUDEM,28,32.6,7.27,7.95,1364,1422,4.6,8.6,832,932,1.04,1.12
3094,"BOREWELL AT AKBARNAGAR,
RAMAGUNDAM",RAMAGUNDAM,28,30,7.88,8.34,968,1076,3,3.2,590,668,0.92,1.06
4260,"BOREWELL NEAR MSW DUMP
YARD, MEDAK TOWN, MEDAK
DISTRICT",MEDAK,34,35,7.15,7.48,1312,1802,8.35,12.32,738,1171.3,0.32,0.35
4262,"BOREWELL NEAR
GRAMPANCHYAT OFFICE,
KISTAIPALLY VILLAGE, JINNARM
MANDAL, SANGAREDDY DISTRICT",SANGAREDDY,35,35,6.78,7.41,2464,2770,20.34,23.32,1384,1800.5,0.4,0.46
4263,"BOREWELL NEAR MPP SCHOOL,
GADDAPOTHARAM VILLAGE,
JINNARAM MANDAL,
SANGAREDDY DISTRICT",SANGAREDDY,33,35,6.79,6.89,4900,4910,25.22,28.24,2760,3185,0.32,0.36
4264,"BOREWELL WATER POINT AT ZP
GIRLS HIGH SCHOOL, BHUDAN
POCHAMPALLY (V&M), YADADRI
DISTRICT.",YADADRI,22,23,7.57,7.96,2201,2385,22.46,28.24,1234,1550.25,0.5,0.52
4265,"BOREWELL AT GRAM
PANCHAYATH OFFICE NEAR
SHIVA TEMPLE & WATER TANK ,
DOTHIGUDEM (V) , YADADRI
BHUVANAGIRI DISTRICT",YADADRI,22,23,7.73,8.02,1581,1871,10.42,12.27,1027.65,1048,0.26,0.26
4266,"BOREWELL, NEAR PRIMARY
SCHOOL, ADLOOR YELLAREDDY
(V), SADASHIVANAGAR (M),
KAMAREDDY DIST.",KAMAREDDY,25,25,7.29,7.71,984,1405,12.21,14.19,560,913.25,0.4,0.43
4268,"BOREWELL LOCATED AT HOUSE
OF SRI VITAL RAO, H.NO.2-42,
875, ABESTOS COLONY, GANDHI
NAGAR, BALANAGAR, MEDCHAL
DISTRICT",MEDCHAL,28,28,7.21,7.21,1073,1073,13.6,13.6,654,654,1.04,1.04
4269,"BOREWELL LOCATED AT HOUSE
OF SRI P VEKATESH RAJU,PLOT
NO.115, 22-321,APIIC, CO-OPERATIVE COLONY,
JEEDIMETLA,
QUTHBULLAPUR(M), MEDCHAL
DISTRICT",MEDCHAL,31,31,7.17,7.17,2570,2570,12.4,12.4,1542,1542,1.16,1.16
4270,"BOREWELL LOCATED AT HOUSE
OF P.ANJANEYULU , PLOT NO.25,
SHAKTHIPURAM, PRASHANTH
NAGAR, I.E.KUKATPALLY,
MEDCHAL DISTRICT",MEDCHAL,30,30,7.52,7.52,3030,3030,13.2,13.2,1878,1878,1.28,1.28
4271,"BOREWELL LOCATED AT
GOVERNMENT PRIMARY
SCHOOL, SY.NO.32, DHULAPALLY",MEDCHAL,30,30,7.61,7.61,1273,1273,12.8,12.8,802,802,0.98,0.98
4272,"BOREWELL LOCATED AT RAJIV
GRUHA KALPA, AHMEDGUDA,
AMBEDKAR NAGAR, KAPRA
MEDCHAL DISTRICT.",MEDCHAL,32,32,7.32,7.32,707,707,10.2,10.2,452,452,0.86,0.86
4273,"BOREWELL LOCATED AT THANDA
DUNDIGAL (V), DHUNDIGAL (M),
MEDCHAL DISTRICT.",MEDCHAL,28,28,7.19,7.19,2375,2375,11.8,11.8,1472,1472,1.32,1.32
4274,"BOREWELL POINTS AT THE
PERIPHERY OF THE IDA,
JEEDIMETLA, MEDCHAL",MEDCHAL,29,29,7.33,7.33,1651,1651,10.4,10.4,1040,1040,1.2,1.2
4275,"BOREWELL POINTS AT THE
PERIPHERY OF THE IDA,
BALANAGAR, MEDCHAL",MEDCHAL,32,32,7.71,7.71,2195,2195,9.3,9.3,1360,1360,1.02,1.02
4276,"BOREWELL NEAR
GRAMPANCHYAT OFFICE,
KHAZIPALLY VILLAGE,
SANGAREDDY DISTRICT",SANGAREDDY,34,35,7.27,7.84,2302,2430,18.16,19.18,1370,1496.3,0.3,0.31
4277,"BOREWELL AT ZP HIGH SCHOOL,
SULTHANPUR (V), AMEENPUR
(M), SANGAREDDY DISTRICT",SANGAREDDY,24,24,7.22,7.22,2975,2975,26.49,26.49,1710,1710,0.46,0.46
4279,"BOREWELL NEAR M/S.
AUROBINDO PHARMA UNIT -I,
GATE 1 BORAPATLA (V),
HATNOORA (M), SANGAREDDY
DISTRICT",SANGAREDDY,24,24,7.36,7.36,1239,1239,22.18,22.18,720,720,0.47,0.47
4280,"BOREWELL AT IDA RAMPUR,
NEAR GWMC DUMP YARD,
RAMPUR (V), KHAZIPET (M),
HANAMKONDA, WARANGAL",HANMAKONDA,28,28,6.99,6.99,7610,7610,24.8,24.8,4794,4794,1.02,1.02
4281,"BOREWELL NEAR BHIMANPALLI
VILLAGE (OPEN LAND), BHUDAN
POCHAMPALLY MANDAL,
NALGONDA",NALGONDA,22,23,7.47,7.74,2712,2886,26.19,29.25,1524,1875.9,0.21,0.26
4282,"BOREWELL NEAR AARLA BAVI (V)
(AGRICULTURAL FIELD),
POCHAMPALLY MANDAL,
YADADRI BHUVANAGIR DISTRICT",YADADRI,22,23,7.43,7.65,1482,1542,17.14,17.18,830,1002.3,0.24,0.26
4283,"BOREWELL NEAR DANTUR (V),
(OPEN LAND), BHUDAN
POCHAMPALLY MANDAL,
YADADRI BHUVANAGIRI DISTRICT",YADADRI,21,23,7.61,7.73,1594,3420,10.13,26.2,1036.1,1920,0.3,0.35
4284,"BOREWELL NEAR MALKAPUR
LAKE, MALKAPUR VILLAGE",YADADRI,22,22,7.66,8.22,2261,2442,16.18,18.29,1274,1587.3,0.27,0.29
4285,"BOREWELL NEAR PEDDAKONDUR
VILLAGE (AGRICULTURAL FIELD),
CHOUTUPPAL MANDAL,
NALGONDA",NALGONDA,21,23,7.13,7.35,2230,2312,12.26,14.31,1252,1502.8,0.3,0.32
4286,"BOREWELL NEAR
ANKIREDDIGUDEM VILLAGE
(AGRICULTURAL FIELD),
CHOUTUPPAL MANDAL,
NALGONDA",NALGONDA,22,23,7.21,7.48,2661,2744,21.23,24.28,1540,1729.65,0.28,0.29
4287,"BOREWELL NEAR
LINGAREDDYGUDEM VILLAGE
(BESIDE CHOUTUPPAL-VALIGONDA ROAD),
CHOUTUPPAL MANDAL,
NALGONDA",NALGONDA,21,23,7.42,7.71,1580,1663,15.32,16.2,950,1080.95,0.26,0.28
4288,"BOREWELL NEAR NAGARAM
CHERUVU, DEVALAMMA
NAGARAM VILLAGE, NALGONDA",NALGONDA,22,23,7.58,7.72,1164,1816,14.24,18.3,652,1180.4,0.25,0.27
4289,"BOREWELL NEAR PITTAM PALLE
VILLAGE (OPEN LAND BESIDE
VILLAGE ROAD), CHITYAL
MANDAL, NALGONDA",NALGONDA,21,22,7.19,7.38,1375,1536,13.26,13.27,772,998.4,0.38,0.41
4290,"BOREWELL NEAR
PEDDAKAPARTHI VILLAGE (OPEN
LAND BESIDE VILLAGE ROAD),
CHITYAL MANDAL , NALGONDA",NALGONDA,22,23,7.48,7.64,1729,2800,8.25,28.25,974,1820,0.36,0.45
